system:index,date,datetime_UTC,latitude,longitude,radius_km,solar_radiation_J_m2,solar_radiation_kWh_m2,time_UTC,.geo
20260301T00,2026-03-01,2026-03-01 00:00,20.249102,85.800575,5,0.0,0.0,00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T01,2026-03-01,2026-03-01 01:00,20.249102,85.800575,5,19288.90882352941,0.00535803022875817,01:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T02,2026-03-01,2026-03-01 02:00,20.249102,85.800575,5,475604.66176470584,0.1321124060457516,02:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T03,2026-03-01,2026-03-01 03:00,20.249102,85.800575,5,1285734.1352941175,0.35714837091503265,03:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T04,2026-03-01,2026-03-01 04:00,20.249102,85.800575,5,2073459.4352941173,0.5759609542483659,04:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T05,2026-03-01,2026-03-01 05:00,20.249102,85.800575,5,2703850.4117647056,0.7510695588235293,05:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T06,2026-03-01,2026-03-01 06:00,20.249102,85.800575,5,3104188.6588235293,0.8622746274509804,06:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T07,2026-03-01,2026-03-01 07:00,20.249102,85.800575,5,3214551.294117647,0.8929309150326797,07:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T08,2026-03-01,2026-03-01 08:00,20.249102,85.800575,5,3097497.176470588,0.8604158823529411,08:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T09,2026-03-01,2026-03-01 09:00,20.249102,85.800575,5,2756996.9176470586,0.7658324771241829,09:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T10,2026-03-01,2026-03-01 10:00,20.249102,85.800575,5,1892076.6352941173,0.5255768431372548,10:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T11,2026-03-01,2026-03-01 11:00,20.249102,85.800575,5,856903.5294117646,0.2380287581699346,11:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T12,2026-03-01,2026-03-01 12:00,20.249102,85.800575,5,401801.9764705882,0.11161166013071894,12:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T13,2026-03-01,2026-03-01 13:00,20.249102,85.800575,5,11956.282352941176,0.00332118954248366,13:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T14,2026-03-01,2026-03-01 14:00,20.249102,85.800575,5,0.0,0.0,14:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T15,2026-03-01,2026-03-01 15:00,20.249102,85.800575,5,0.0,0.0,15:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T16,2026-03-01,2026-03-01 16:00,20.249102,85.800575,5,0.0,0.0,16:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T17,2026-03-01,2026-03-01 17:00,20.249102,85.800575,5,0.0,0.0,17:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T18,2026-03-01,2026-03-01 18:00,20.249102,85.800575,5,0.0,0.0,18:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T19,2026-03-01,2026-03-01 19:00,20.249102,85.800575,5,0.0,0.0,19:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T20,2026-03-01,2026-03-01 20:00,20.249102,85.800575,5,0.0,0.0,20:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T21,2026-03-01,2026-03-01 21:00,20.249102,85.800575,5,0.0,0.0,21:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T22,2026-03-01,2026-03-01 22:00,20.249102,85.800575,5,0.0,0.0,22:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T23,2026-03-01,2026-03-01 23:00,20.249102,85.800575,5,0.0,0.0,23:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
