datetime,rel_humidity,air_temp,wind_speed,solar_rad_J_m2,HI_IMD,heat_hazard_score,heat_hazard_class
2026-03-01 00:00:00,82.45,23.56,3.38,,23.57,0.0,Normal / Safe
2026-03-01 01:00:00,85.91,23.11,3.17,,22.56,0.0,Normal / Safe
2026-03-01 02:00:00,87.97,22.71,2.96,,21.71,0.0,Normal / Safe
2026-03-01 03:00:00,88.29,22.43,2.77,,21.28,0.0,Normal / Safe
2026-03-01 04:00:00,87.29,22.17,2.55,,21.13,0.0,Normal / Safe
2026-03-01 05:00:00,85.43,21.86,2.3,0.0,21.13,0.0,Normal / Safe
2026-03-01 06:00:00,81.93,21.69,2.09,0.0,21.63,0.0,Normal / Safe
2026-03-01 07:00:00,68.75,23.67,2.59,19288.90882352941,24.7,0.0,Normal / Safe
2026-03-01 08:00:00,57.4,25.85,2.54,475604.6617647058,26.69,0.0,Normal / Safe
2026-03-01 09:00:00,45.38,28.72,2.26,1285734.1352941175,28.82,0.0,Normal / Safe
2026-03-01 10:00:00,36.98,31.04,1.71,2073459.4352941173,30.55,2.2,Normal / Safe
2026-03-01 11:00:00,32.32,32.48,1.25,2703850.4117647056,31.69,6.76,Normal / Safe
2026-03-01 12:00:00,29.87,33.48,0.87,3104188.6588235293,32.58,10.32,Normal / Safe
2026-03-01 13:00:00,29.02,34.0,0.55,3214551.294117647,33.12,12.48,Normal / Safe
2026-03-01 14:00:00,29.55,34.04,0.45,3097497.176470588,33.26,13.04,Normal / Safe
2026-03-01 15:00:00,31.42,33.49,0.62,2756996.9176470586,32.85,11.4,Normal / Safe
2026-03-01 16:00:00,34.28,32.64,1.09,1892076.6352941173,32.19,8.76,Normal / Safe
2026-03-01 17:00:00,45.78,30.76,2.07,856903.5294117646,31.48,5.92,Normal / Safe
2026-03-01 18:00:00,52.54,28.82,3.17,401801.9764705882,29.73,0.0,Normal / Safe
2026-03-01 19:00:00,60.17,27.61,3.84,11956.282352941176,28.91,0.0,Normal / Safe
2026-03-01 20:00:00,66.82,26.77,4.26,0.0,28.25,0.0,Normal / Safe
2026-03-01 21:00:00,71.4,26.25,4.36,0.0,27.73,0.0,Normal / Safe
2026-03-01 22:00:00,74.94,25.79,4.13,0.0,27.13,0.0,Normal / Safe
2026-03-01 23:00:00,78.12,25.38,3.85,0.0,26.51,0.0,Normal / Safe
2026-03-02 00:00:00,80.87,24.98,3.54,0.0,25.82,0.0,Normal / Safe
2026-03-02 01:00:00,83.08,24.55,3.16,0.0,25.03,0.0,Normal / Safe
2026-03-02 02:00:00,83.92,24.18,2.83,0.0,24.37,0.0,Normal / Safe
2026-03-02 03:00:00,83.67,23.89,2.55,0.0,23.94,0.0,Normal / Safe
2026-03-02 04:00:00,82.25,23.63,2.32,0.0,23.68,0.0,Normal / Safe
2026-03-02 05:00:00,79.26,23.38,2.13,0.0,23.64,0.0,Normal / Safe
2026-03-02 06:00:00,74.63,23.31,2.03,0.0,23.98,0.0,Normal / Safe
2026-03-02 07:00:00,62.92,25.08,2.81,16938.729411764703,26.07,0.0,Normal / Safe
2026-03-02 08:00:00,52.58,27.09,2.87,298756.3764705882,27.67,0.0,Normal / Safe
2026-03-02 09:00:00,42.49,30.01,2.75,1119772.8117647057,30.0,0.0,Normal / Safe
2026-03-02 10:00:00,37.38,32.13,2.62,1691947.0705882348,32.01,8.04,Normal / Safe
2026-03-02 11:00:00,33.72,33.53,2.51,2486334.564705882,33.31,13.24,Normal / Safe
2026-03-02 12:00:00,30.71,34.5,2.45,3052236.4705882347,34.1,16.4,Normal / Safe
2026-03-02 13:00:00,28.08,35.09,2.39,3179957.6941176467,34.41,17.64,Normal / Safe
2026-03-02 14:00:00,26.21,35.37,2.25,3049951.2705882355,34.44,17.76,Normal / Safe
2026-03-02 15:00:00,25.57,35.23,2.08,2617900.7529411763,34.14,16.56,Normal / Safe
2026-03-02 16:00:00,26.99,34.45,1.82,2001002.9176470584,33.37,13.48,Normal / Safe
2026-03-02 17:00:00,36.5,32.11,1.02,1262625.9529411765,31.84,7.36,Normal / Safe
2026-03-02 18:00:00,46.55,29.23,1.1,466379.3176470588,29.54,0.0,Normal / Safe
2026-03-02 19:00:00,50.61,27.98,1.65,17269.882352941175,28.48,0.0,Normal / Safe
2026-03-02 20:00:00,53.87,26.99,2.1,0.0,27.65,0.0,Normal / Safe
2026-03-02 21:00:00,56.28,26.1,2.19,0.0,26.89,0.0,Normal / Safe
2026-03-02 22:00:00,58.08,25.21,2.04,0.0,26.15,0.0,Normal / Safe
2026-03-02 23:00:00,58.8,24.36,1.81,0.0,25.52,0.0,Normal / Safe
2026-03-03 00:00:00,58.25,23.55,1.71,0.0,25.07,0.0,Normal / Safe
2026-03-03 01:00:00,58.13,22.73,1.96,0.0,24.75,0.0,Normal / Safe
2026-03-03 02:00:00,59.71,21.92,2.42,0.0,24.47,0.0,Normal / Safe
2026-03-03 03:00:00,63.1,21.13,2.8,0.0,24.09,0.0,Normal / Safe
2026-03-03 04:00:00,67.15,20.45,3.01,0.0,23.6,0.0,Normal / Safe
2026-03-03 05:00:00,70.33,19.92,3.06,0.0,23.13,0.0,Normal / Safe
2026-03-03 06:00:00,70.88,19.73,3.09,0.0,23.05,0.0,Normal / Safe
2026-03-03 07:00:00,60.83,21.66,4.03,23175.43823529412,24.35,0.0,Normal / Safe
2026-03-03 08:00:00,50.77,24.25,3.57,501933.2029411764,25.5,0.0,Normal / Safe
2026-03-03 09:00:00,35.68,28.88,3.73,1324966.6058823527,28.14,0.0,Normal / Safe
2026-03-03 10:00:00,28.12,31.4,3.5,2135628.4117647056,29.97,0.0,Normal / Safe
2026-03-03 11:00:00,25.72,32.72,2.92,2779131.588235294,31.15,4.6,Normal / Safe
2026-03-03 12:00:00,24.17,33.53,2.54,3194607.2470588232,31.88,7.52,Normal / Safe
2026-03-03 13:00:00,22.76,34.07,2.3,3348093.4823529413,32.32,9.28,Normal / Safe
2026-03-03 14:00:00,20.91,34.4,2.08,3202761.74117647,32.48,9.92,Normal / Safe
2026-03-03 15:00:00,19.57,34.38,1.82,2784121.4117647056,32.32,9.28,Normal / Safe
2026-03-03 16:00:00,21.01,33.77,1.3,2133259.9294117643,31.81,7.24,Normal / Safe
2026-03-03 17:00:00,33.13,31.49,0.27,1321514.5647058822,30.6,2.4,Normal / Safe
2026-03-03 18:00:00,38.81,29.35,0.37,490008.1647058823,28.86,0.0,Normal / Safe
2026-03-03 19:00:00,44.32,28.04,0.94,19069.88235294117,28.02,0.0,Normal / Safe
2026-03-03 20:00:00,52.73,26.77,1.11,0.0,27.36,0.0,Normal / Safe
2026-03-03 21:00:00,60.41,25.62,1.36,0.0,26.56,0.0,Normal / Safe
2026-03-03 22:00:00,67.34,24.74,1.66,0.0,25.72,0.0,Normal / Safe
2026-03-03 23:00:00,72.85,24.2,1.83,0.0,25.0,0.0,Normal / Safe
2026-03-04 00:00:00,76.2,23.81,1.83,0.0,24.38,0.0,Normal / Safe
2026-03-04 01:00:00,78.43,23.46,1.65,0.0,23.81,0.0,Normal / Safe
2026-03-04 02:00:00,79.12,23.13,1.35,0.0,23.38,0.0,Normal / Safe
2026-03-04 03:00:00,78.52,22.72,1.16,0.0,23.03,0.0,Normal / Safe
2026-03-04 04:00:00,78.65,22.12,1.26,0.0,22.5,0.0,Normal / Safe
2026-03-04 05:00:00,79.6,21.56,1.41,0.0,21.94,0.0,Normal / Safe
2026-03-04 06:00:00,80.66,21.27,1.47,0.0,21.56,0.0,Normal / Safe
2026-03-04 07:00:00,73.25,23.01,2.16,25681.13235294117,23.84,0.0,Normal / Safe
2026-03-04 08:00:00,62.12,25.46,1.73,503555.68529411766,26.43,0.0,Normal / Safe
2026-03-04 09:00:00,46.98,28.42,1.4,1309908.8411764705,28.64,0.0,Normal / Safe
2026-03-04 10:00:00,38.01,30.69,1.37,2138862.0941176466,30.26,1.04,Normal / Safe
2026-03-04 11:00:00,31.29,32.35,1.5,2795904.717647059,31.38,5.52,Normal / Safe
2026-03-04 12:00:00,27.56,33.4,1.66,3201515.176470588,32.15,8.6,Normal / Safe
2026-03-04 13:00:00,25.39,34.03,1.77,3350528.9176470586,32.61,10.44,Normal / Safe
2026-03-04 14:00:00,23.18,34.44,1.77,3204250.0235294118,32.8,11.2,Normal / Safe
2026-03-04 15:00:00,21.5,34.43,1.6,2784630.258823529,32.58,10.32,Normal / Safe
2026-03-04 16:00:00,21.93,33.85,1.24,2134011.1058823527,31.99,7.96,Normal / Safe
2026-03-04 17:00:00,32.88,31.46,0.28,1323317.129411765,30.54,2.16,Normal / Safe
2026-03-04 18:00:00,38.02,29.17,0.48,492382.2823529412,28.6,0.0,Normal / Safe
