sector_id,area_m2,LST,NDVI,vegetation_cover_pct,vulnerability_index,vulnerability_class,population_density_per_km2,population_density_class,dist_hospital_km,outdoor_exposure,HHSI_season_mean,HHSI_season_max,danger_days
SEC-A01,900.0,38.1,0.3,14.8,0.23,Low,676.1,Low,1.72,High,34.29383561643835,45.6,0
SEC-A02,900.0,37.9,0.4,26.3,0.233,Low,676.1,Low,1.69,High,34.32287671232877,45.64,0
SEC-A03,900.0,37.1,0.36,21.3,0.236,Low,676.1,Low,1.66,Medium,34.35164383561644,45.68,0
SEC-A04,900.0,37.1,0.28,12.9,0.238,Low,603.0,Low,1.63,Medium,34.37082191780822,45.71,0
SEC-A05,900.0,37.1,0.35,20.1,0.242,Low,603.0,Low,1.6,Medium,34.409041095890416,45.76,0
SEC-A06,900.0,37.1,0.34,19.0,0.245,Low,603.0,Low,1.57,Medium,34.43808219178082,45.8,0
SEC-A07,900.0,37.6,0.31,15.8,0.257,Low,1179.9,Low,1.54,High,34.55301369863014,45.95,0
SEC-A08,900.0,37.7,0.34,19.0,0.261,Low,1179.9,Low,1.51,High,34.59205479452054,46.0,1
SEC-A09,900.0,37.7,0.31,15.8,0.264,Low,1179.9,Low,1.48,High,34.62109589041096,46.04,1
SEC-A10,900.0,37.8,0.26,11.1,0.268,Low,1179.9,Low,1.45,High,34.65986301369863,46.09,1
SEC-A11,900.0,37.8,0.35,20.1,0.27,Low,1117.2,Low,1.42,High,34.67917808219178,46.12,1
SEC-A12,900.0,38.0,0.28,12.9,0.273,Low,1117.2,Low,1.39,High,34.70739726027397,46.15,1
SEC-A13,900.0,38.3,0.3,14.8,0.275,Low,1117.2,Low,1.36,High,34.72671232876713,46.18,1
SEC-A14,900.0,38.5,0.27,12.0,0.273,Low,805.6,Low,1.33,High,34.70739726027397,46.15,1
SEC-A15,900.0,38.6,0.3,14.8,0.274,Low,805.6,Low,1.3,High,34.71739726027397,46.17,1
SEC-A16,900.0,38.6,0.33,17.9,0.275,Low,805.6,Low,1.27,High,34.72671232876713,46.18,1
SEC-A17,900.0,38.7,0.32,16.8,0.276,Low,805.6,Low,1.24,High,34.736712328767126,46.19,1
SEC-A18,900.0,38.7,0.32,16.8,0.272,Low,555.6,Low,1.21,High,34.69794520547945,46.14,1
SEC-A19,900.0,38.6,0.35,20.1,0.271,Low,555.6,Low,1.18,High,34.6886301369863,46.13,1
SEC-A20,900.0,38.5,0.31,15.8,0.269,Low,555.6,Low,1.15,High,34.66958904109589,46.1,1
SEC-A21,900.0,38.3,0.31,15.8,0.267,Low,555.6,Low,1.12,High,34.65,46.08,1
SEC-A22,900.0,38.3,0.35,20.1,0.26,Low,328.5,Low,1.09,High,34.5827397260274,45.99,0
SEC-A23,900.0,38.2,0.28,12.9,0.257,Low,328.5,Low,1.06,High,34.55301369863014,45.95,0
SEC-A24,900.0,38.5,0.31,15.8,0.252,Low,328.5,Low,1.03,High,34.50534246575342,45.89,0
SEC-A25,900.0,38.2,0.27,12.0,0.425,Moderate,12067.0,Medium,1.0,High,36.17082191780822,48.1,12
SEC-A26,900.0,37.7,0.32,16.8,0.42,Moderate,12067.0,Medium,0.97,High,36.122465753424656,48.04,12
SEC-A27,900.0,37.2,0.31,15.8,0.415,Moderate,12067.0,Medium,0.94,Medium,36.074383561643835,47.97,11
SEC-A28,900.0,36.9,0.29,13.8,0.41,Moderate,12067.0,Medium,0.91,Medium,36.02575342465754,47.91,10
SEC-A29,900.0,36.7,0.35,20.1,0.378,Moderate,10305.1,Medium,0.88,Medium,35.71794520547945,47.5,7
SEC-A30,900.0,36.8,0.42,29.0,0.379,Moderate,10305.1,Medium,0.85,Low,35.72780821917809,47.51,7
SEC-A31,900.0,36.9,0.53,46.2,0.382,Moderate,10305.1,Medium,0.82,Low,35.756986301369864,47.55,7
SEC-A32,900.0,37.0,0.53,46.2,0.385,Moderate,10305.1,Medium,0.79,Low,35.7858904109589,47.59,7
SEC-A33,900.0,37.1,0.43,30.4,0.271,Low,2397.1,Low,0.76,Medium,34.6886301369863,46.13,1
SEC-A34,900.0,37.1,0.4,26.3,0.278,Low,2397.1,Low,0.73,Medium,34.755616438356164,46.22,1
SEC-A35,900.0,37.1,0.43,30.4,0.286,Low,2397.1,Low,0.7,Medium,34.83246575342466,46.32,1
SEC-A36,900.0,36.9,0.38,23.7,0.382,Moderate,8234.0,Medium,0.67,Medium,35.756986301369864,47.55,7
SEC-A37,900.0,36.8,0.39,25.0,0.392,Moderate,8234.0,Medium,0.64,Low,35.853013698630136,47.68,8
SEC-A38,900.0,36.1,0.4,26.3,0.402,Moderate,8234.0,Medium,0.61,Low,35.949315068493156,47.8,9
SEC-A39,900.0,35.9,0.38,23.7,0.414,Moderate,8234.0,Medium,0.58,Low,36.06452054794521,47.96,11
SEC-A40,900.0,35.7,0.34,19.0,0.443,Moderate,9375.8,Medium,0.55,Low,36.34328767123288,48.33,15
SEC-A41,900.0,35.6,0.34,19.0,0.455,Moderate,9375.8,Medium,0.52,Low,36.459315068493154,48.48,16
SEC-A42,900.0,35.9,0.41,27.6,0.468,Moderate,9375.8,Medium,0.49,Low,36.5845205479452,48.65,17
SEC-A43,900.0,36.0,0.55,49.7,0.501,Moderate,10648.5,Medium,0.46,Low,36.90164383561644,49.07,17
SEC-A44,900.0,36.2,0.49,39.5,0.515,Moderate,10648.5,Medium,0.43,Low,37.03671232876712,49.25,18
SEC-A45,900.0,36.4,0.27,12.0,0.527,Moderate,10648.5,Medium,0.4,Low,37.15232876712329,49.4,18
SEC-A46,900.0,36.5,0.27,12.0,0.531,Moderate,10648.5,Medium,0.37,Medium,37.19041095890411,49.46,19
SEC-A47,900.0,36.8,0.27,12.0,0.543,Moderate,11481.1,Medium,0.34,Medium,37.3058904109589,49.61,19
SEC-A48,900.0,37.0,0.32,16.8,0.537,Moderate,11481.1,Medium,0.31,Medium,37.248356164383566,49.53,19
SEC-A49,900.0,36.8,0.35,20.1,0.524,Moderate,11481.1,Medium,0.28,Medium,37.12301369863014,49.37,18
SEC-A50,900.0,37.0,0.42,29.0,0.506,Moderate,11481.1,Medium,0.25,Low,36.949315068493156,49.14,17
SEC-A51,900.0,37.3,0.47,36.3,0.53,Moderate,13101.7,Medium,0.22,Low,37.18068493150685,49.44,19
SEC-A52,900.0,37.4,0.44,31.8,0.536,Moderate,13101.7,Medium,0.19,Medium,37.238082191780826,49.52,19
SEC-A53,900.0,37.6,0.35,20.1,0.542,Moderate,13101.7,Medium,0.16,High,37.296301369863016,49.6,19
SEC-A54,900.0,37.6,0.31,15.8,0.535,Moderate,12173.0,Medium,0.13,High,37.22876712328767,49.51,19
SEC-A55,900.0,37.6,0.34,19.0,0.541,Moderate,12173.0,Medium,0.1,High,37.28698630136986,49.58,19
SEC-A56,900.0,37.8,0.33,17.9,0.548,Moderate,12173.0,Medium,0.07,High,37.354246575342465,49.67,20
SEC-A57,900.0,37.9,0.29,13.8,0.557,Moderate,12173.0,Medium,0.05,High,37.441095890410956,49.79,20
SEC-A58,900.0,37.9,0.32,16.8,0.51,Moderate,8462.7,Medium,0.03,High,36.9886301369863,49.19,17
SEC-A59,900.0,37.9,0.33,17.9,0.514,Moderate,8462.7,Medium,0.02,High,37.026849315068496,49.24,18
SEC-A60,900.0,37.7,0.35,20.1,0.504,Moderate,8462.7,Medium,0.03,High,36.93041095890411,49.11,17
SEC-A61,900.0,37.6,0.31,15.8,0.569,Moderate,13551.6,Medium,0.06,High,37.556575342465756,49.94,20
SEC-A62,900.0,37.4,0.35,20.1,0.56,Moderate,13551.6,Medium,0.08,Medium,37.46945205479452,49.83,20
SEC-A63,900.0,37.3,0.33,17.9,0.554,Moderate,13551.6,Medium,0.11,Medium,37.412328767123284,49.75,20
SEC-A64,900.0,37.2,0.34,19.0,0.547,Moderate,13551.6,Medium,0.14,Medium,37.34479452054794,49.66,20
