model,fold,MAE,RMSE,R2
Random Forest,1,0.19406825083276436,0.30678028746400354,0.33030269118292577
Random Forest,2,0.17334544735581203,0.3246296824297003,0.23069504013172604
Random Forest,3,0.178158949683077,0.30490294676346236,0.4077332790185261
Random Forest,4,0.20427339448427873,0.33190759148237964,0.37645473227526904
Random Forest,5,0.1219822554473794,0.22822935522545304,0.5409446062976524
Extra Trees,1,0.18552143236351115,0.2904050757130336,0.3998883483407042
Extra Trees,2,0.1727114412582071,0.31431967145552786,0.2787842500049076
Extra Trees,3,0.1726882853347365,0.2963627006526985,0.44044706930206423
Extra Trees,4,0.20097592805841633,0.32334697173540694,0.40820510855845804
Extra Trees,5,0.12135960545808712,0.22251782318773972,0.5636332075168504
Gradient Boosting,1,0.19445450069089573,0.30858447427743096,0.32240249672885213
Gradient Boosting,2,0.17627776469014259,0.330939236346319,0.20049975816219412
Gradient Boosting,3,0.17772293228353825,0.31522058530087343,0.36697154898780493
Gradient Boosting,4,0.2016020537322795,0.3390161566380721,0.3494593968015379
Gradient Boosting,5,0.11917425769363882,0.22806223864539088,0.5416166292331086
